name,diag,max_lf,max_st,diag_dom,max_deg
nnc1374,0.002941790663282803,0.21718217037919696,0.6932725288656549,0.0,16
add20,0.9038924222696461,0.9887604308025123,0.9999411589640937,0.9870563674321503,83
rdb2048,0.032212084363448946,0.446582297849038,0.45252089758973085,0.0625,5
email,0.09414208558371416,0.26049023680930616,0.28226007478188614,0.0,71
dataset18mfeatmorphological_10NN,0.2328663006849033,0.49970238944333717,0.5539927799782695,0.0,18
M80PI_n,0.3325062871112511,0.9903470340498699,0.9973062618351415,0.001912960306073649,12
M80PI_n_E,1.0,0.989478718316595,0.989478718316595,1.0,0
S40PI_n1_E,1.0,1.0,1.0,1.0,0
S40PI_n1,0.33282972368909775,0.9885500164548008,0.9973741244679362,0.0009861932938856016,7
fpga_dcop_17,0.7298774936295566,0.9169639630446793,0.9994194969702114,0.4426229508196721,35
LeGresley_4908,0.0016339368055335486,0.6671197229940325,0.7296260988488013,0.044417277913610435,37
bibd_81_2,1.0,1.0,1.0,1.0,0
spaceStation_9,0.019391554176942546,0.48475535763907146,0.6418984720723937,0.0,154
spaceStation_7,0.020753691368114332,0.5011781161097824,0.6612251446811107,0.0,148
M40PI_n1_E,1.0,1.0,1.0,1.0,0
M40PI_n1,0.33282972368909775,0.9885500164548008,0.9973741244679362,0.0009861932938856016,7
bcsstk09,3.35759438798141e-08,0.20862038990607326,0.3053834768489096,0.003693444136657433,22
fpga_dcop_51,0.7320608922728185,0.9197021902751339,0.9999983832380644,0.4459016393442623,35
adder_trans_01,0.975234289813743,0.9882801994497283,0.9925730187501366,0.9575523704520397,1334
mhd4800b,0.9970258079630282,0.9991141041196879,0.9991439200054378,0.7545833333333334,9
dwt_1005,0.11657580327108225,0.3360399025635077,0.34949541816494606,0.0,26
M40PI_n_E,1.0,0.9798350137488543,0.9798350137488543,1.0,0
M40PI_n,0.33175182123474933,0.9815411980252889,0.9948489221226171,0.0036663611365719525,12
yeast,0.15083370599885007,0.32588002299878616,0.4395962435315914,0.05717916137229987,64
TS,0.006370325233536101,0.45953137185267656,0.46369665896760587,0.08496732026143791,23
freeFlyingRobot_9,0.001332428274442735,0.39597626282994225,0.5083923294550443,0.33800753453327753,957
spaceStation_10,0.027404699878273986,0.5916631022860561,0.745259983530659,0.0,166
dataset12mfeatfactors_10NN,0.581875341530795,0.7361095814305606,0.7550011677318392,0.0,40
data,0.08629718194751339,0.22329509338014952,0.2588310076580803,0.0,17
ex23,2.7081901232533724e-05,0.45568797902438685,0.4685482150531773,0.0205819730305181,66
G32,0.2,0.58,0.5998,0.0,4
netscience,0.4003527893259256,0.6987112027737716,0.769829659117672,0.08055380742605413,34
t2dal_a,0.3503617146374742,0.6772949789646286,0.6809381505968063,0.0,8
LeGresley_2508,0.0006533920692965134,0.9657875046427902,0.9799692918783935,0.15749601275917066,27
G24,0.04764173415912339,0.14125774178180087,0.14287756074321106,0.0,38
fpga_dcop_16,0.7301912905963867,0.9173634046672409,0.9990727836772059,0.4245901639344262,35
fpga_dcop_38,0.732060886814658,0.9197021859282327,0.9999983801343193,0.44098360655737706,35
fpga_dcop_23,0.7320589094590182,0.9196995715898951,0.9999963125127389,0.41885245901639345,35
filter2D,0.9999651298645909,0.9999847713694182,0.9999881704149991,0.736810551558753,8
filter2D_E,1.0,1.0,1.0,1.0,0
fpga_dcop_12,0.7273535663962024,0.9181761988124394,0.9992495603320943,0.44016393442622953,35
sherman4,0.101800313183925,0.5356884403362712,0.5785650789689153,1.0,6
fpga_dcop_42,0.7320608921722923,0.9197021901950861,0.9999983831815938,0.44508196721311477,35
uk,0.2607849497242945,0.7527300248675532,0.7822467293761488,0.0,3
ex4,0.5804966841763379,0.7287984809278718,0.7544964624992706,0.004996876951905059,36
fpga_dcop_20,0.7317357752792608,0.9192979317651092,0.9999756912778179,0.4262295081967213,35
can_1054,0.08642177763201049,0.24549032469662185,0.25910134470318136,0.0,34
G25,0.04764173415912339,0.14140066698427822,0.14287756074321106,0.0,39
rajat19,0.4517021329554927,0.7886366594013734,0.9467705930975985,0.31374243733794294,301
bcsstm23,1.0,1.0,1.0,1.0,0
spaceShuttleEntry_2,0.030336880618499457,0.42130242796121253,0.5407967644868001,0.04341736694677871,1322
spaceStation_13,0.024632388000703484,0.5585533513738005,0.7168879000852646,0.0,211
freeFlyingRobot_5,0.0009260530137471057,0.39779347234388024,0.503210356224097,0.3373870743571925,577
Binaryalphadigs_10NN,0.671983735071213,0.7832658936559026,0.7936503040241366,0.0,31
M20PI_n1_E,1.0,1.0,1.0,1.0,0
M20PI_n1,0.33234128902470905,0.9774450486803168,0.9948273729334676,0.0019455252918287938,7
fpga_dcop_29,0.7320598813786365,0.9197011991916637,0.9999979180967731,0.4155737704918033,35
USpowerGrid,0.2725467483038226,0.6915439351315572,0.8175299244304706,0.0,19
G49,0.2,0.596,0.5998666666666667,0.0,4
fpga_dcop_21,0.7319459183209297,0.9195602767775659,0.9999923202794512,0.4262295081967213,35
G35,0.07825950853028643,0.23196118328376897,0.234700266082329,0.0,210
G38,0.07825338445887785,0.23233429845840833,0.23468189999217468,0.0,249
lns_3937,1.4625513162627174e-10,0.6278388980959978,0.8697571124140544,0.12928625857251713,10
G55,0.16668889185224697,0.48213095079343915,0.49793305774103214,0.0062,15
G29,0.04764173415912339,0.14125774178180087,0.14287756074321106,0.0,38
jagmesh9,0.14822546972860126,0.4376442149214372,0.4444566531150423,0.0,6
stufe,0.21709974853310982,0.6207041072925398,0.6508801341156748,0.0,4
