name,diag,max_lf,max_st,diag_dom,max_deg
1138_bus,0.5002175877708372,0.8889389031993256,0.971547120750656,0.7574692442882249,17
3elt,0.0,0.3269711797148238,0.3633698210922787,0.0,9
ACTIVSg2000,0.4607229164213912,0.7570800489453189,0.8352341985877182,0.0725,33
Binaryalphadigs_10NN,0.0,0.2888097532519758,0.31947984991871087,0.0,31
Chem97ZtZ,0.6221512413185736,0.6809679115185513,1.0,1.0,100
G22,0.0,0.10461300878260232,0.13105668852232252,0.0,37
G23,0.0,0.10397409031496993,0.12930726279290922,0.0,36
G24,0.0,0.10468032391165773,0.13109901515965625,0.0,38
G25,0.0,0.10451312239372341,0.1294158746561426,0.0,39
G26,0.0,0.10445904563033541,0.13025997538786688,0.0,40
G27,0.0,0.10461300878260232,0.13105668852232252,0.0,37
G28,0.0,0.10401875391757424,0.12875873565008517,0.0,35
G29,0.0,0.10468032391165773,0.13109901515965625,0.0,38
G30,0.0,0.10451312239372341,0.1294158746561426,0.0,39
G31,0.0,0.10445904563033541,0.13025997538786688,0.0,40
G32,0.0,0.475,0.49975,0.0,4
G33,0.0,0.48,0.49975,0.0,4
G34,0.0,0.4875,0.49975,0.0,4
G35,0.0,0.2325783294376209,0.26655329222196267,0.0,210
G36,0.0,0.22919852734429436,0.2655787147056823,0.0,326
G37,0.0,0.23241705607010543,0.26619187011937,0.0,279
G38,0.0,0.23150377418084492,0.26578758394694274,0.0,249
G39,0.0,0.2325783294376209,0.26655329222196267,0.0,210
G40,0.0,0.22919852734429436,0.2655787147056823,0.0,326
G41,0.0,0.23241705607010543,0.26619187011937,0.0,279
G42,0.0,0.23150377418084492,0.26578758394694274,0.0,249
G43,0.0,0.10375574883352917,0.12963239151067096,0.0,36
G44,0.0,0.1047647181515687,0.1306800794733867,0.0,37
G45,0.0,0.10447582802193066,0.12898535226437172,0.0,35
G46,0.0,0.10336480214115897,0.12793381768493334,0.0,35
G47,0.0,0.10391064984001638,0.12920245533242491,0.0,34
G48,0.0,0.49166666666666664,0.49983333333333335,0.0,4
G49,0.0,0.495,0.49983333333333335,0.0,4
G50,0.0,0.49583333333333335,0.49983333333333335,0.0,4
G51,0.0,0.2288202087166734,0.26357989269883286,0.0,156
G52,0.0,0.22832561224459824,0.26274551223962694,0.0,171
G53,0.0,0.22646422338238434,0.2619538023162918,0.0,136
G54,0.0,0.2265331154795918,0.2630149513038829,0.0,136
G57,0.0,0.49,0.4999,0.0,4
Goodwin_010,0.3488224451441561,0.5016709063173963,0.5402766550592779,0.1362098138747885,61
LeGresley_2508,0.5215498389959954,0.8471350626886763,0.9034744515001722,0.15749601275917066,27
LeGresley_4908,0.44247642503697726,0.7916544309993919,0.8772753193612853,0.044417277913610435,37
M20PI_n,0.007649415014621376,0.9661078582876346,0.9912089159345367,0.00676818950930626,12
M20PI_n1_E,1.0,1.0,1.0,1.0,0
M40PI_n,0.004147091039606208,0.9816255495433632,0.9952339589515509,0.0036663611365719525,12
M40PI_n1_E,1.0,1.0,1.0,1.0,0
M80PI_n,0.0021647798662996582,0.9904085442005088,0.997512128476297,0.001912960306073649,12
M80PI_n1_E,1.0,1.0,1.0,1.0,0
Plants_10NN,0.0,0.36595345065856266,0.41592849871863763,0.0,36
S20PI_n,0.007649415014621376,0.9661078582876346,0.9912089159345367,0.00676818950930626,12
S20PI_n1_E,1.0,1.0,1.0,1.0,0
S40PI_n,0.004147091039606208,0.9816255495433632,0.9952339589515509,0.0036663611365719525,12
S40PI_n1_E,1.0,1.0,1.0,1.0,0
S80PI_n,0.0021647798662996582,0.9904085442005088,0.997512128476297,0.001912960306073649,12
S80PI_n1_E,1.0,1.0,1.0,1.0,0
TS,0.08496732026143791,0.41191527714164095,0.41795628020071623,0.08496732026143791,23
TSOPF_FS_b9_c1,0.15769506972696423,0.5652024098302093,0.7248805426504118,0.0069274653626731865,1209
Trefethen_2000,0.9868244117766948,0.9879374955059923,0.9924806509006844,0.997,21
USpowerGrid,0.0,0.7065419202846103,0.8568140646432915,0.0,19
YaleB_10NN,0.0,0.38143751547551596,0.411410874271737,0.0,53
add20,0.5896634851233846,0.9330741734698832,0.9997140879950147,0.9870563674321503,83
add32,0.6140768432569426,0.9517307709576801,0.9933350674519402,0.9419354838709677,14
adder_trans_01,0.6156794784858016,0.7407971399718565,0.8206055623858386,0.9570011025358324,1334
adder_trans_02,0.6156794541243105,0.7407972263042548,0.820605604006903,0.9570011025358324,1334
airfoil1,0.0,0.3319593265631356,0.36747244708683685,0.0,9
bcspwr06,0.3395336243031899,0.8089322521873783,0.9010799988817675,0.22627235213204952,12
