name,diag,max_lf,max_st,diag_dom,max_deg
nnc1374,7.437898425609121e-10,0.2148724901835845,0.6923675387916904,0.0,16
add20,0.5686043861888869,0.9495492346448833,0.9997358817545763,0.9870563674321503,83
rdb2048,0.4630664682938598,0.6929611162491457,0.6962558808154733,0.0625,5
email,0.0,0.1836360300862227,0.20766831773986424,0.0,71
dataset18mfeatmorphological_10NN,0.0,0.34783518048635764,0.41860562191449874,0.0,18
M80PI_n,0.02605346781281404,0.9859152640228434,0.9960695405909816,0.001912960306073649,12
M80PI_n_E,1.0,1.0000000000000002,1.0000000000000002,1.0,0
S40PI_n1_E,1.0,1.0,1.0,1.0,0
S40PI_n1,0.0016338414218699687,0.9828660291177655,0.9960705904310562,0.0009861932938856016,7
fpga_dcop_17,0.4143898242055768,0.8199826114008012,0.9987415025652931,0.4426229508196721,35
LeGresley_4908,0.4082238641355164,0.8026869989933546,0.8397373184441902,0.044417277913610435,37
bibd_81_2,1.0,1.0,1.0,1.0,0
spaceStation_9,6.465650174078378e-08,0.47456641716505865,0.6348170298763359,0.0,154
spaceStation_7,7.213798694827787e-08,0.4906063535709215,0.6540453327277193,0.0,148
M40PI_n1_E,1.0,1.0,1.0,1.0,0
M40PI_n1,0.0016338414218699687,0.9828660291177655,0.9960705904310562,0.0009861932938856016,7
bcsstk09,0.3621229014575309,0.4951970535183802,0.5569200127358959,0.003693444136657433,22
fpga_dcop_51,0.41327835355152137,0.8241672761859362,0.9999964596835721,0.4459016393442623,35
adder_trans_01,0.46758406675031705,0.748046452108785,0.840333948688126,0.9575523704520397,1334
mhd4800b,0.740570987842058,0.9227262092537349,0.9253269511327364,0.7545833333333334,9
dwt_1005,0.11657580327108225,0.3360399025635077,0.34949541816494606,0.0,26
M40PI_n_E,1.0,0.9999999999999998,0.9999999999999998,1.0,0
M40PI_n,0.04861165222688546,0.9737201092788004,0.9926663840968948,0.0036663611365719525,12
yeast,0.03876193231125253,0.23705525021695112,0.3656349435927104,0.05717916137229987,64
TS,0.0005444430532077089,0.45636247842113725,0.46055218758443633,0.08496732026143791,23
freeFlyingRobot_9,0.9861265547064798,0.9916089292264318,0.9931706082020909,0.33800753453327753,957
spaceStation_10,8.529314075778113e-08,0.5801574788254664,0.7380822273047353,0.0,166
dataset12mfeatfactors_10NN,0.0,0.36887142811531903,0.4140531362940291,0.0,40
data,0.0,0.1499370569138011,0.18882925859670047,0.0,17
ex23,0.34819056116069436,0.645202678468378,0.6535853287157509,0.0205819730305181,66
G32,0.0,0.475,0.49975,0.0,4
netscience,0.0,0.4975565768286588,0.6161570723832946,0.08055380742605413,34
t2dal_a,0.34040581426528604,0.6723494283229511,0.6760484326463754,0.0,8
LeGresley_2508,0.4984002128436565,0.982827799431072,0.9899460318865809,0.15749601275917066,27
G24,0.0,0.0982991495747874,0.1,0.0,38
fpga_dcop_16,0.4142210193350378,0.820588517373493,0.997986929948915,0.4245901639344262,35
fpga_dcop_38,0.4132783500293013,0.8241672691935854,0.9999964528871743,0.44098360655737706,35
fpga_dcop_23,0.41327640716339253,0.824162259816251,0.9999919253304148,0.41885245901639345,35
filter2D,0.5014125894547545,0.7822548321427144,0.8308557714439122,0.736810551558753,8
filter2D_E,1.0,1.0,1.0,1.0,0
fpga_dcop_12,0.41563721093311096,0.8246271405717318,0.9983915835187447,0.44016393442622953,35
sherman4,0.5141987078617565,0.748871927979695,0.7720622349415237,1.0,6
fpga_dcop_42,0.4132783534866653,0.8241672760571844,0.9999964595599165,0.44508196721311477,35
uk,0.0,0.6654965628199503,0.7054263565891473,0.0,3
ex4,0.233142409819304,0.5042400488285588,0.5512162978283035,0.004996876951905059,36
fpga_dcop_20,0.4134385836391555,0.8235444196989588,0.9999468488258998,0.4262295081967213,35
can_1054,0.08642177763201049,0.24549032469662185,0.25910134470318136,0.0,34
G25,0.0,0.09844922461230615,0.1,0.0,39
rajat19,0.04250688178730918,0.6308959851394018,0.907045433041133,0.31374243733794294,301
bcsstm23,1.0,1.0,1.0,1.0,0
spaceShuttleEntry_2,0.01907827012913611,0.41458325877296837,0.5354650258027547,0.04341736694677871,1322
spaceStation_13,7.039999472111724e-08,0.5474048839457709,0.7097380756745392,0.0,211
freeFlyingRobot_5,0.9944991973493693,0.9966843102319396,0.9972647252012404,0.3373870743571925,577
Binaryalphadigs_10NN,0.0,0.33925805053858893,0.37091626837266045,0.0,31
M20PI_n1_E,1.0,1.0,1.0,1.0,0
M20PI_n1,0.0032110160912377076,0.9663263181645352,0.9922774651284695,0.0019455252918287938,7
fpga_dcop_29,0.41327816589510746,0.8241657131111905,0.9999954411527243,0.4155737704918033,35
USpowerGrid,0.0,0.5759781619654231,0.7491659084015772,0.0,19
G49,0.0,0.495,0.49983333333333335,0.0,4
fpga_dcop_21,0.4133304217039843,0.8239476966530432,0.9999831919798142,0.4262295081967213,35
G35,0.0,0.16675157072508065,0.1697232127695704,0.0,210
G38,0.0,0.1671618982935733,0.16970880380337888,0.0,249
lns_3937,1.965979978961222e-06,0.6278396297028427,0.8697573684499152,0.12928625857251713,10
G55,0.0,0.3785405664906385,0.3975036005760922,0.0062,15
G29,0.0,0.0982991495747874,0.1,0.0,38
jagmesh9,0.14822546972860126,0.4376442149214372,0.4444566531150423,0.0,6
stufe,0.0,0.515524625267666,0.55406852248394,0.0,4
lshp3025,0.1452023232371718,0.42715883454135267,0.4355109681754908,0.0,6
G47,0.0,0.0980980980980981,0.1,0.0,34
ex33,0.23326285600608454,0.45965344446658873,0.5118749880534044,0.03577611079053664,17
c-23,0.47343298476286727,0.6377837688899676,0.8110469034893483,0.12093726379440665,654
dwt_1242,0.11912526376366775,0.3406867446767696,0.3571839631690006,0.0008051529790660225,11
bcsstk10,0.3316112529281828,0.59260431317827,0.6090884448238488,0.001841620626151013,26
G52,0.0,0.1663286004056795,0.16886409736308317,0.0,171
spaceStation_11,7.821460255995963e-08,0.5824504602956682,0.7362627285439127,0.0,178
hangGlider_2,0.7687008237698341,0.8888458042881007,0.9172966565836559,0.04978749241044323,1462
